body,brand,cit,color,gear,price,usage,year
بدون رنگ,دنا معمولی,کرج، شهر جدید اندیشه,سفید,دنده‌ای,۱۱۹٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
نقدی و قسطی,فروشی,کرج، گوهردشت,مشکی,یک لکه رنگ,دنده‌ای,۹۸٫۵۰۰٫۰۰۰ تومان,دنا معمولی 1700cc
دو لکه رنگ,دنا معمولی 1700cc,کرج، فردیس,سفید,دنده‌ای,۱۰۷٫۰۰۰٫۰۰۰ تومان,۹۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,کرج، هشتگرد,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,کرج، گوهردشت,سفید,دنده‌ای,۱۳۰٫۵۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
۱۱۹٫۵۰۰٫۰۰۰ تومان,دنا معمولی 1700cc,کرج، گلشهر,دنده‌ای,۳۰٫۰۰۰,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,کرج، گلشهر,خاکستری,دنده‌ای,۱۲۲٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
,فروشی,تهران، صادقیه,۰,,,,دنا معمولی 1700cc
نقدی,فروشی,تهران، ستارخان,سفید,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
یک لکه رنگ,دنا معمولی 1700cc,کرج، مارلیک,سفید,دنده‌ای,۱۰۷٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,تهران، وردآورد,سفید,دنده‌ای,سنسور عقب و جلو ، رادار ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، آزاد شهر,مشکی,دنده‌ای,۱۰۸٫۰۰۰٫۰۰۰ تومان,۳۳٫۰۰۰,۲۰۱۶ - ۱۳۹۵
,دنا معمولی 1700cc,تهران، نارمک,,,,,۲۰۱۹ - ۱۳۹۸
نقدی,فروشی,کرج، گوهردشت,سفید,بدون رنگ,دنده‌ای,۱۳۴٫۰۰۰٫۰۰۰ تومان,دنا معمولی
بدون رنگ,دنا معمولی 1700cc,تهران، شهرک ولیعصر,نقره‌ای,دنده‌ای,۹۱٫۵۰۰٫۰۰۰ تومان,کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی,تهران، توحید,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,تهران، شهر ری,مشکی,۹۶٫۵۰۰٫۰۰۰ تومان,۸۵٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,تهران، خانی‌آباد,نوک‌مدادی,دنده‌ای,۱۲۰٫۵۰۰٫۰۰۰ تومان,کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
نقدی,فروشی,تهران، صادقیه,مشکی,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
بدون رنگ,دنا معمولی 1700cc,تهران، پیروزی,سفید,دنده‌ای,۱۱۵٫۰۰۰٫۰۰۰ تومان,۵۱٫۰۰۰,۲۰۱۷ - ۱۳۹۶
نقدی,فروشی,تهران، ونک,سفید,بدون رنگ,دنده‌ای,توافقی,دنا معمولی
تصادفی,دنا معمولی 1700cc,تهران، شهر ری,سفید,دنده‌ای,۷۰٫۰۰۰٫۰۰۰ تومان,۸۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
دنده‌ای,دنا معمولی 1700cc,تهران، قرچک,سفید,۱۱۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، آینه تاشو برقی ، دوربین 360 درجه,۶۷٫۰۰۰,۲۰۱۷ - ۱۳۹۶
۳۰۰,دنا معمولی 1700cc,تهران، پرند,سنسور عقب و جلو ، کولر دوال ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، اندیشه,سفید,دنده‌ای,۱۱۸٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,فروشی,تهران، عباس‌آباد,نقدی و قسطی,دنده‌ای,توافقی,۰,دنا معمولی 1700cc
بدون رنگ,دنا معمولی,تهران، نارمک,نقدی و قسطی,دنده‌ای,توافقی,۱,۲۰۱۹ - ۱۳۹۸
توافقی,دنا معمولی 1700cc,اصفهان، بید آباد,دو برگی,سنسور عقب و جلو ، کروز کنترل ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی,۲۰٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
۰,فروشی,تهران، عباس‌آباد,توافقی,,,,دنا معمولی
