body,brand,cit,color,gear,price,usage,year
بدون رنگ,جک S5 دنده‌ای,تبریز,سفید,دنده‌ای,۲۵۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، اتو هلد ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,هستم,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,کرج، شهریار,سفید,اتوماتیک,۲۸۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، دنده پشت فرمان ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، دی لایت ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۱۵۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,۲۵۷٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,کرج، گوهردشت,سفید,اتوماتیک,۲۵۸٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
,جک S5 اتوماتیک,کرج، فردیس,,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,کرج، مهرشهر,سفید,اتوماتیک,۲۸۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
نقدی,فروشی,کرج، عظیمیه,مشکی,بدون رنگ,اتوماتیک,۹۰۰,جک S5 اتوماتیک
بدون رنگ,جک S5 اتوماتیک,کرج، مهرویلا,نقدی,اتوماتیک,توافقی,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
