body,brand,cit,color,gear,price,usage,year
دو لکه رنگ,پژو 206 تیپ ۲,قم، توحید,نقرآبی,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,۳۵۰٫۰۰۰,۲۰۰۴ - ۱۳۸۳
دنده‌ای,پژو 206 تیپ ۲,قم، امامزاده ابراهیم,یک لکه رنگ,۳۵٫۰۰۰٫۰۰۰ تومان,۳۰۰,,۲۰۰۴ - ۱۳۸۳
دنده‌ای,پژو 206 تیپ ۲,قم، هنرستان,مشکی,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۲,قم، زنبیل‌آباد (شهید صدوقی),قسطی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۲,شیراز، صدرا فاز دو,سفید,دنده‌ای,۵۹٫۰۰۰٫۰۰۰ تومان,۲۲۸٫۰۰۰,۲۰۱۱ - ۱۳۹۰
دو لکه رنگ,پژو 206 تیپ ۲,شیراز، ادبیات,سفید,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۲۰۱۰ - ۱۳۸۹
چند لکه رنگ,پژو 206 تیپ ۲,شیراز، نصر,سفید,دنده‌ای,۲۱۸٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
دو لکه رنگ,پژو 206 تیپ ۲,شیراز، بلوار مدرس,آبی,دنده‌ای,۳۸٫۰۰۰٫۰۰۰ تومان,سرد کن/گرم کن صندلی و فرمان ، آینه تاشو برقی,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو 206 تیپ ۲,شیراز، ارتش,سفید,دنده‌ای,۴۴٫۵۰۰٫۰۰۰ تومان,۱٫۰۰۰,۲۰۰۸ - ۱۳۸۷
یک لکه رنگ,پژو 206 تیپ ۲,شیراز، شهرک گلستان,گیلاسی,دنده‌ای,۲۷۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
چند لکه رنگ,پژو 206 تیپ ۲,شیراز، امیرکبیر,مشکی,دنده‌ای,۳۷٫۰۰۰٫۰۰۰ تومان,۲۹۰,۲۰۰۵ - ۱۳۸۴
۰,پژو 206 تیپ ۲,مشهد، وکیل آباد,دنده‌ای,,,,۲۰۱۹ - ۱۳۹۸
۰,پژو 206 تیپ ۲,شیراز، فرهنگ شهر,۴۸٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۹ - ۱۳۹۸
