body,brand,cit,color,gear,price,usage,year
بدون رنگ,تیبا صندوق‌دار SX,مشهد، عبادی,سفید,دنده‌ای,۳٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
,فروشی,تهران، توحید,۰,,,,تیبا صندوق‌دار SX
بدون رنگ,تیبا صندوق‌دار SX,تهران، شهر ری,سفید,دنده‌ای,هستم,۷٫۰۰۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار EX,مشهد، گلبهار,بدون رنگ,توافقی,۱۲٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,مشهد، مطهری شمالی,سفید,دنده‌ای,۱۰۰٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار SX دوگانه‌ سوز,مشهد، عبدالمطلب,سفید,دنده‌ای,۵۸٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
۰,تیبا صندوق‌دار SX,مشهد، عبادی,تک برگی,,,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار SX,مشهد، شهرک شهید رجایی,بدون رنگ,۸۰٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
۰,تیبا صندوق‌دار SX,مشهد، پیروزی,تک برگی,,,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار EX دوگانه سوز,مشهد، راهنمایی,یک لکه رنگ,۴۳٫۰۰۰٫۰۰۰ تومان,۴٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
,تیبا صندوق‌دار SX,مشهد، مصلی,,,,,۲۰۱۷ - ۱۳۹۶
دنده‌ای,تیبا صندوق‌دار LX,مشهد، طبرسی,بدون رنگ,۵۵٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
فرمان برقی,تیبا صندوق‌دار LX دوگانه‌ سوز,مشهد، وکیل آباد,۵۴٫۵۰۰٫۰۰۰ تومان,۱۰۰,,,۲۰۱۶ - ۱۳۹۵
چند لکه رنگ,تیبا صندوق‌دار SX,کرج، فردیس,سفید صدفی,دنده‌ای,۴۲٫۵۰۰٫۰۰۰ تومان,۹۹,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار SX,کرج، شهرک وحدت,سفید,دنده‌ای,۱۷,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار SX دوگانه‌ سوز,کرج، شاهین ویلا,سفید,دنده‌ای,دی لایت,۶۳٫۷۸۰,۲۰۱۵ - ۱۳۹۴
۴۲٫۵۰۰٫۰۰۰ تومان,تیبا صندوق‌دار SX,کرج، فردیس,دنده‌ای,۹۷٫۰۰۰,,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار EX,کرج، فردیس,سفید,دنده‌ای,۵۴٫۴۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
