body,brand,cit,color,gear,price,usage,year
چند لکه رنگ,پژو پارس ساده,تبریز,نقدی,دنده‌ای,توافقی,۲۴۰,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۳۷٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۳ - ۱۳۸۲
یک لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۱۵۷٫۰۰۷,,۲۰۰۹ - ۱۳۸۸
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۸٫۵۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۲۰۵٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو پارس ساده,اصفهان، پروین,سفید,دنده‌ای,کولر دوال ، آینه تاشو برقی,۲۲۳٫۰۰۰,۲۰۰۹ - ۱۳۸۸
چند لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۴۸٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۶ - ۱۳۸۵
دنده‌ای,پژو پارس ساده,اصفهان، مولوی,چند لکه رنگ,۵۴٫۰۰۰٫۰۰۰ تومان,۱۹۰٫۰۰۰,,۲۰۰۸ - ۱۳۸۷
دنده‌ای,پژو پارس ساده,اصفهان، ملک شهر,یک لکه رنگ,۷۸٫۰۰۰٫۰۰۰ تومان,۱۱٫۱۱۱,,۲۰۱۴ - ۱۳۹۳
چند لکه رنگ,پژو پارس ساده,اصفهان، ابن سینا,سفید,دنده‌ای,۵۰٫۰۰۰٫۰۰۰ تومان,۴۲٫۰۰۰,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پژو پارس ساده,اصفهان، خانه اصفهان,نقره‌ای,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,۲۵۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,اصفهان، دروازه شیراز (میدان آزادی),خاکستری,دنده‌ای,۴۰٫۰۰۰٫۰۰۰ تومان,سانروف,۲۰۰۵ - ۱۳۸۴
دو لکه رنگ,پژو پارس ساده,اصفهان، ابن سینا,نقره‌ای,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
دنده‌ای,پژو پارس ساده,اصفهان، شاهین شهر,چند لکه رنگ,۵۲٫۶۰۰٫۰۰۰ تومان,۱۱۱,,۲۰۰۸ - ۱۳۸۷
یک لکه رنگ,پژو پارس ساده,اصفهان، خمینی شهر,سفید,دنده‌ای,۳۴۷٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
دو لکه رنگ,پژو پارس ساده,رشت,بژ,دنده‌ای,۳۶٫۰۰۰٫۰۰۰ تومان,۱۸۵٫۰۰۰,۲۰۰۳ - ۱۳۸۲
